sistema_ensino,tipo_escola,uf,nome_escola,codigo_curso,nome_curso,oferta,eixo_tecnologico,modalidade,data_criacao,carga_horaria_toral,modalidade_ensino,status_curso,tipo_oferta,vagas_ofertas,qtd_de_matriculas
Federal,Escolas Técnicas,SP,SENAC PIRACICABA,28,NOÇÕES À INFORMÁTICA - WINDOWS,Concomitante,Informação e Comunicação,Educação Presencial,19AUG19:15:49:00,11,Educação Presencial,Concluído,2,,9
Federal,Escolas Técnicas,SP,SENAC PIRACICABA,28,NOÇÕES À INFORMÁTICA - WINDOWS,Concomitante,Informação e Comunicação,Educação Presencial,19AUG19:15:49:00,11,Educação Presencial,Concluído,2,,9
Federal,Escolas Técnicas,SP,SENAC PIRACICABA,28,NOÇÕES À INFORMÁTICA - WINDOWS,Concomitante,Informação e Comunicação,Educação Presencial,19AUG19:15:49:00,11,Educação Presencial,Concluído,2,,9
Federal,Escolas de Oferta Outros Cursos,DF,Instituto Federal de Brasília - Campus São Sebastião,34,Técnico em Secretaria Escolar,Subsequente,Desenvolvimento Educacional e So,Educação Presencial,19AUG19:16:17:00,1360,Educação Presencial,Ativo,3,40,42
Federal,Escolas Técnicas,SP,SENAC RIBEIRAO PRETO,320,ORGANIZAÇÃO E PLANEJAMENTO DO REC,Concomitante,"Turismo, Hospitalidade e Lazer",Educação Presencial,19AUG19:16:33:00,36,Educação Presencial,Concluído,2,,13
Federal,Escolas Técnicas,SP,SENAC RIBEIRAO PRETO,320,ORGANIZAÇÃO E PLANEJAMENTO DO REC,Concomitante,"Turismo, Hospitalidade e Lazer",Educação Presencial,19AUG19:16:33:00,36,Educação Presencial,Concluído,2,,13
Federal,Escolas Técnicas,SP,SENAC RIBEIRAO PRETO,320,ORGANIZAÇÃO E PLANEJAMENTO DO REC,Concomitante,"Turismo, Hospitalidade e Lazer",Educação Presencial,19AUG19:16:33:00,36,Educação Presencial,Concluído,2,,13
Federal,Escolas Técnicas,SP,SENAC BAURU,304,PREPARO DE HAMBÚRGUER,Concomitante,Produção Alimentícia,Educação Presencial,19AUG19:16:52:00,11,Educação Presencial,Concluído,2,,10
Federal,Escolas Técnicas,SP,SENAC BAURU,304,PREPARO DE HAMBÚRGUER,Concomitante,Produção Alimentícia,Educação Presencial,19AUG19:16:52:00,11,Educação Presencial,Concluído,2,,10
Federal,Escolas Técnicas,SP,SENAC BAURU,304,PREPARO DE HAMBÚRGUER,Concomitante,Produção Alimentícia,Educação Presencial,19AUG19:16:52:00,11,Educação Presencial,Concluído,2,,10
Federal,Escolas Técnicas,SP,SENAC RIBEIRAO PRETO,3076,EXCEL 2016 - AVANÇADO,Concomitante,Desenvolvimento Educacional e So,Educação Presencial,19AUG19:16:56:00,39,Educação Presencial,Concluído,2,,14
Federal,Escolas Técnicas,SP,SENAC RIBEIRAO PRETO,3076,EXCEL 2016 - AVANÇADO,Concomitante,Desenvolvimento Educacional e So,Educação Presencial,19AUG19:16:56:00,39,Educação Presencial,Concluído,2,,14
Federal,Escolas Técnicas,SP,SENAC RIBEIRAO PRETO,3076,EXCEL 2016 - AVANÇADO,Concomitante,Desenvolvimento Educacional e So,Educação Presencial,19AUG19:16:56:00,39,Educação Presencial,Concluído,2,,14
Estadua,Escolas Técnicas,PR,COLEGIO ESTADUAL LEONCIO CORREIA - ENSINO FUNDAMENTAL- MÉDIO E PROFIS,59,Técnico em Recursos Humanos,Subsequente,Gestão e Negócios,Educação Presencial,19AUG19:17:09:00,816,Educação Presencial,Concluído,3,,25
Estadua,Escolas Técnicas,PR,COLEGIO ESTADUAL LEONCIO CORREIA - ENSINO FUNDAMENTAL- MÉDIO E PROFIS,59,Técnico em Recursos Humanos,Subsequente,Gestão e Negócios,Educação Presencial,19AUG19:17:09:00,816,Educação Presencial,Concluído,3,,25
Federal,Escolas Técnicas,PE,SENAC - CENTRO DE FORMAÇÃO PROFISSIONAL DR. LUIZ PESSOA,200,BEGINNER´S ENGLISH,Subsequente,Desenvolvimento Educacional e So,Educação Presencial,19AUG19:19:33:00,80,Educação Presencial,Ativo,3,,21
Federal,Escolas Técnicas,PE,SENAC - CENTRO DE FORMAÇÃO PROFISSIONAL DR. LUIZ PESSOA,200,BEGINNER´S ENGLISH,Subsequente,Desenvolvimento Educacional e So,Educação Presencial,19AUG19:19:33:00,80,Educação Presencial,Ativo,3,,21
Federal,Escolas Técnicas,SP,SENAC GUARULHOS,112,ROTINAS BÁSICAS DE ADMINISTRAÇÃO,Concomitante,Gestão e Negócios,Educação Presencial,19AUG19:13:15:00,11,Educação Presencial,Concluído,2,,12
Federal,Escolas Técnicas,SP,SENAC GUARULHOS,112,ROTINAS BÁSICAS DE ADMINISTRAÇÃO,Concomitante,Gestão e Negócios,Educação Presencial,19AUG19:13:15:00,11,Educação Presencial,Concluído,2,,12
Federal,Escolas Técnicas,SP,SENAC GUARULHOS,112,ROTINAS BÁSICAS DE ADMINISTRAÇÃO,Concomitante,Gestão e Negócios,Educação Presencial,19AUG19:13:15:00,11,Educação Presencial,Concluído,2,,12
Estadua,Escolas Técnicas,MG,ESCOLA MULTI-TECH cursos e informática,6,Técnico em Enfermagem,Concomitante,Ambiente e Saúde,Educação Presencial,19AUG19:14:45:00,1200,Educação Presencial,Ativo,2,,39
Estadua,Escolas Técnicas,AM,INSTITUTO IANSA - EDUCAÇÃO PROFISSIONAL TÉCNICA DE NÍVEL MÉDIO,6,Técnico em Enfermagem,,Ambiente e Saúde,Educação Presencial,19AUG19:15:48:00,360,Educação Presencial,Ativo,,,21
Estadua,Escolas Técnicas,RN,ESCOLA ESTADUAL PADRE JOSE DE ANCHIETA,73,Técnico em Informática,Integrado,Informação e Comunicação,Educação Presencial,19AUG19:13:33:00,3110,Educação Presencial,Ativo,1,,31
